date,open,close,high,low,volume,turnover
2024-04-01,22.230,23.200,23.480,22.010,657418.000,
2024-04-02,23.240,24.450,24.990,22.740,893172.000,
2024-04-03,24.000,23.890,25.810,23.850,902367.000,
2024-04-08,23.590,23.010,24.740,22.960,608792.000,
2024-04-09,22.800,25.310,25.310,22.800,793037.000,
2024-04-10,25.260,24.940,25.720,24.710,740521.000,
2024-04-11,24.590,25.550,25.580,24.000,688902.000,
2024-04-12,25.000,24.160,25.470,24.020,547861.000,
2024-04-15,24.000,24.250,24.860,23.490,482488.000,
2024-04-16,23.850,22.420,23.860,22.300,494863.000,
2024-04-17,22.720,22.990,23.430,22.400,457271.000,
2024-04-18,22.650,22.480,23.140,21.830,432429.000,
2024-04-19,22.020,21.330,22.340,21.200,482173.000,
2024-04-22,21.130,20.430,21.590,20.360,357169.000,
2024-04-23,20.530,20.780,21.230,20.520,293140.000,
2024-04-24,20.500,20.180,20.580,19.910,382044.000,
2024-04-25,20.000,20.260,20.660,19.770,300426.000,
2024-04-26,19.980,20.860,20.970,19.980,375385.000,
2024-04-29,20.830,21.720,22.330,20.680,533352.000,"{'nd': '2023', 'fh_sh': '3', 'djr': '2024-04-26', 'cqr': '2024-04-29', 'FHcontent': '10派3元'}"
2024-04-30,21.800,21.000,21.840,20.920,338535.000,
2024-05-06,22.120,22.190,22.780,21.930,465058.000,
2024-05-07,22.140,22.190,22.380,21.850,270122.000,
2024-05-08,22.200,21.510,22.200,21.490,234207.000,
2024-05-09,22.230,22.660,23.280,22.230,611298.000,
2024-05-10,22.500,22.000,22.700,21.900,379562.000,
2024-05-13,21.570,21.170,21.750,21.000,329615.000,
2024-05-14,21.310,21.070,21.480,21.010,199938.000,
2024-05-15,21.300,21.100,21.690,21.030,187045.000,
2024-05-16,21.150,20.790,21.230,20.680,252374.000,
2024-05-17,20.710,20.940,20.940,20.430,267558.000,
2024-05-20,20.950,21.040,21.150,20.750,220489.000,
2024-05-21,20.940,20.570,21.150,20.460,210877.000,
2024-05-22,20.430,20.880,20.910,20.360,255519.000,
2024-05-23,20.770,20.140,20.770,20.100,253524.000,
2024-05-24,20.030,19.730,20.230,19.690,203810.000,
2024-05-27,19.750,19.660,19.840,19.090,249605.000,
2024-05-28,19.670,19.670,19.900,19.310,172890.000,
2024-05-29,20.000,20.170,20.770,19.900,326648.000,
2024-05-30,20.170,19.870,20.260,19.810,154882.000,
2024-05-31,19.890,19.550,20.030,19.550,160398.000,
2024-06-03,19.510,19.400,19.540,19.150,167618.000,
2024-06-04,19.380,19.660,19.710,19.160,156544.000,
2024-06-05,19.720,20.080,20.590,19.670,353588.000,
2024-06-06,20.080,19.440,20.310,19.400,218837.000,
2024-06-07,19.570,18.800,19.630,18.610,266528.000,
2024-06-11,18.740,18.990,18.990,18.370,176614.000,
2024-06-12,18.920,19.040,19.260,18.800,134624.000,
2024-06-13,18.950,18.760,19.210,18.700,152928.000,
2024-06-14,18.710,19.070,19.100,18.420,226402.000,
2024-06-17,19.200,20.530,20.980,19.020,916990.000,
2024-06-18,20.370,20.040,20.370,19.800,478314.000,
2024-06-19,19.960,19.560,19.990,19.480,259694.000,
2024-06-20,19.460,18.840,19.530,18.820,245374.000,
2024-06-21,18.840,18.460,18.980,18.360,220986.000,
2024-06-24,18.100,18.240,18.540,17.610,231455.000,
2024-06-25,18.220,17.760,18.350,17.700,181570.000,
2024-06-26,17.800,18.370,18.490,17.500,208566.000,
2024-06-27,18.160,17.720,18.210,17.720,155285.000,
2024-06-28,17.630,17.560,18.080,17.530,177779.000,
2024-07-01,17.410,17.290,17.410,16.900,214163.000,
2024-07-02,17.190,17.180,17.560,17.040,126202.000,
2024-07-03,17.190,17.470,17.650,17.050,190368.000,
2024-07-04,17.480,16.770,17.550,16.750,166172.000,
2024-07-05,16.600,16.500,16.720,16.400,180579.000,
2024-07-08,16.400,16.050,16.490,15.970,160040.000,
2024-07-09,15.990,15.990,16.160,15.550,264370.000,
2024-07-10,15.820,15.840,16.400,15.690,253930.000,
2024-07-11,16.140,16.720,17.070,16.000,423175.000,
2024-07-12,16.700,16.520,16.860,16.500,207047.000,
2024-07-15,16.550,16.050,16.600,15.960,188688.000,
2024-07-16,15.960,16.270,16.310,15.920,158227.000,
2024-07-17,16.230,16.120,16.400,16.030,146336.000,
2024-07-18,16.050,16.330,16.380,15.870,190978.000,
2024-07-19,16.240,16.340,16.620,16.200,187469.000,
2024-07-22,16.400,16.110,16.550,15.980,199106.000,
2024-07-23,16.070,15.480,16.070,15.480,207601.000,
2024-07-24,15.360,14.940,15.550,14.900,225037.000,
2024-07-25,14.810,15.090,15.420,14.780,189696.000,
2024-07-26,15.020,15.440,15.750,15.020,193284.000,
2024-07-29,15.480,15.100,15.490,15.000,144893.000,
2024-07-30,15.060,14.730,15.140,14.660,247222.000,
2024-07-31,14.770,15.690,15.710,14.580,362747.000,
2024-08-01,15.710,15.450,15.770,15.360,196739.000,
2024-08-02,15.400,15.290,15.710,15.280,178021.000,
2024-08-05,15.200,14.980,15.680,14.970,205906.000,
2024-08-06,15.180,15.210,15.380,14.980,166278.000,
2024-08-07,15.250,15.050,15.250,14.950,140961.000,
2024-08-08,14.960,15.090,15.290,14.810,178256.000,
2024-08-09,15.190,14.720,15.390,14.720,170506.000,
2024-08-12,14.700,14.530,14.880,14.460,161191.000,
2024-08-13,14.450,14.770,14.880,14.310,207959.000,
2024-08-14,14.770,14.470,14.960,14.440,148470.000,
2024-08-15,14.390,14.510,14.690,14.260,174240.000,
2024-08-16,14.520,14.210,14.560,14.200,164074.000,
2024-08-19,14.160,14.170,14.420,14.130,121051.000,
2024-08-20,14.160,13.930,14.490,13.900,210313.000,
2024-08-21,13.810,14.240,14.500,13.760,324129.000,
2024-08-22,14.260,13.960,14.410,13.940,215089.000,
2024-08-23,13.900,13.720,14.130,13.700,173651.000,
2024-08-26,13.720,13.920,14.500,13.720,321576.000,
2024-08-27,13.850,13.580,13.880,13.550,172189.000,
2024-08-28,13.500,13.650,13.720,13.310,155420.000,
2024-08-29,13.550,13.990,14.120,13.550,232176.000,
2024-08-30,14.040,14.350,14.680,13.880,330450.000,
2024-09-02,14.290,13.950,14.520,13.950,193483.000,
2024-09-03,13.940,14.320,14.580,13.840,277786.000,
2024-09-04,14.180,14.420,14.680,14.180,291874.000,
2024-09-05,14.400,14.300,14.850,14.210,238999.000,
2024-09-06,14.270,13.950,14.300,13.940,156024.000,
2024-09-09,13.860,13.870,14.060,13.790,117245.000,
2024-09-10,13.880,13.650,13.960,13.500,155879.000,
2024-09-11,13.620,14.890,15.020,13.620,957144.000,
2024-09-12,14.570,14.330,14.810,14.330,669410.000,
2024-09-13,14.400,13.690,14.500,13.690,362716.000,
2024-09-18,13.660,13.240,13.660,13.150,254911.000,
2024-09-19,13.380,13.380,13.770,13.080,331776.000,
2024-09-20,13.380,12.960,13.440,12.900,321377.000,
2024-09-23,12.950,13.080,13.300,12.860,223464.000,
2024-09-24,13.200,14.240,14.280,13.160,682125.000,
2024-09-25,14.500,14.320,14.790,14.300,495846.000,
2024-09-26,14.250,15.370,15.390,14.220,522753.000,
2024-09-27,15.680,16.840,16.910,15.620,838022.000,
2024-09-30,17.850,18.520,18.520,17.400,959887.000,
2024-10-08,20.370,20.370,20.370,19.010,1122656.000,
2024-10-09,20.080,18.330,20.080,18.330,831978.000,
2024-10-10,17.960,17.750,18.750,17.450,569258.000,
2024-10-11,17.570,16.480,17.660,16.220,551239.000,
2024-10-14,16.490,16.720,16.850,16.150,426056.000,
2024-10-15,16.550,16.230,16.740,16.220,389707.000,
2024-10-16,15.990,15.880,16.160,15.750,366526.000,
2024-10-17,16.000,15.730,16.240,15.700,280417.000,
2024-10-18,15.740,16.450,16.930,15.630,579094.000,
2024-10-21,16.550,16.690,17.000,16.420,565684.000,
2024-10-22,16.710,17.110,17.140,16.390,487857.000,
2024-10-23,17.250,17.700,18.020,16.760,833117.000,
2024-10-24,17.450,17.020,17.600,16.950,474545.000,
2024-10-25,17.020,18.720,18.720,17.020,1064576.000,
2024-10-28,18.810,18.750,18.940,18.150,983763.000,
2024-10-29,18.800,18.070,19.080,18.050,658652.000,
2024-10-30,17.800,17.970,18.150,17.710,406614.000,
2024-10-31,17.970,18.920,19.200,17.850,850924.000,
2024-11-01,18.800,18.350,19.280,18.090,561686.000,
2024-11-04,18.140,18.350,18.870,18.010,406827.000,
2024-11-05,18.330,20.190,20.190,18.100,1182593.000,
2024-11-06,20.200,20.680,21.390,20.020,1298045.000,
2024-11-07,20.830,21.020,22.180,20.700,974234.000,
2024-11-08,21.920,22.010,23.120,21.850,1114370.000,
2024-11-11,21.300,24.210,24.210,21.300,1202660.000,
2024-11-12,24.630,23.080,25.630,23.000,1386006.000,
2024-11-13,23.080,23.620,24.000,22.350,945661.000,
2024-11-14,23.630,22.310,24.000,22.260,666636.000,
2024-11-15,22.120,21.750,22.750,21.750,572814.000,
2024-11-18,21.700,21.160,22.260,21.010,513112.000,
2024-11-19,21.320,22.900,23.190,20.890,752512.000,
2024-11-20,22.500,23.070,23.260,22.400,684375.000,
2024-11-21,23.140,24.400,25.000,23.060,1043313.000,
2024-11-22,24.000,23.780,24.750,23.750,807525.000,
2024-11-25,23.950,24.970,25.380,23.950,899747.000,
2024-11-26,25.000,23.730,25.000,23.480,606571.000,
2024-11-27,23.220,25.010,25.370,23.000,671412.000,
2024-11-28,25.130,24.350,25.200,24.240,430562.000,
2024-11-29,24.100,24.690,25.000,23.940,477261.000,
2024-12-02,24.500,24.170,24.640,23.960,486686.000,
2024-12-03,24.170,23.390,24.170,23.260,434770.000,
2024-12-04,23.220,22.590,23.620,22.380,480896.000,
2024-12-05,22.600,22.550,22.790,22.400,289177.000,
2024-12-06,22.500,22.990,23.180,22.100,379029.000,
2024-12-09,22.850,22.760,23.020,22.400,288255.000,
2024-12-10,23.600,22.380,23.690,22.310,385305.000,
2024-12-11,22.200,22.150,22.720,22.020,276764.000,
2024-12-12,22.040,22.270,22.510,21.880,280727.000,
2024-12-13,22.100,22.130,22.350,21.820,355772.000,
2024-12-16,22.130,21.280,22.300,21.130,342619.000,
2024-12-17,21.160,21.510,21.900,21.160,268055.000,
2024-12-18,21.510,21.420,21.690,21.330,160449.000,
2024-12-19,21.160,21.030,21.320,20.850,257563.000,
2024-12-20,21.080,21.250,21.540,21.080,211002.000,
2024-12-23,21.210,21.100,22.040,21.080,319665.000,
2024-12-24,21.100,21.060,21.500,20.700,292620.000,
2024-12-25,21.200,20.420,21.370,20.310,271407.000,
2024-12-26,20.350,20.220,20.520,20.170,244125.000,
2024-12-27,20.210,20.290,20.650,20.100,245083.000,
2024-12-30,20.170,20.370,20.500,20.070,189656.000,
2024-12-31,20.370,19.720,20.400,19.700,200834.000,
2025-01-02,19.720,18.850,19.800,18.690,284664.000,
2025-01-03,18.860,18.180,19.000,18.050,278596.000,
2025-01-06,18.460,17.820,18.680,17.680,350519.000,
2025-01-07,17.820,18.140,18.180,17.630,294284.000,
2025-01-08,18.080,17.830,18.330,17.440,312783.000,
2025-01-09,17.650,18.270,18.370,17.620,288709.000,
2025-01-10,18.280,17.920,18.650,17.920,235379.000,
2025-01-13,17.700,18.110,18.620,17.680,282483.000,
2025-01-14,18.110,18.610,18.730,17.970,348534.000,
2025-01-15,18.590,18.310,18.600,18.200,250795.000,
2025-01-16,18.380,18.440,18.750,18.190,221197.000,
2025-01-17,18.360,18.690,19.030,18.360,335748.000,
2025-01-20,18.860,18.830,19.130,18.710,257654.000,
2025-01-21,18.910,18.750,18.970,18.490,207484.000,
2025-01-22,18.600,18.320,18.680,18.220,173120.000,
2025-01-23,18.500,18.160,18.750,18.160,177066.000,
2025-01-24,18.100,18.550,18.880,18.100,274339.000,
2025-01-27,18.620,18.280,18.840,18.280,172470.000,
2025-02-05,18.430,18.220,18.450,18.070,170785.000,
2025-02-06,18.140,19.020,19.150,18.060,349882.000,
2025-02-07,19.100,19.930,20.320,19.020,475201.000,
2025-02-10,20.010,19.660,20.020,19.310,460777.000,
2025-02-11,19.670,19.000,19.670,18.860,417875.000,
2025-02-12,18.920,19.610,19.990,18.810,583060.000,
2025-02-13,19.550,19.360,19.810,19.350,439664.000,
2025-02-14,19.330,19.550,20.200,19.330,405321.000,
2025-02-17,19.600,19.180,19.670,19.000,420137.000,
2025-02-18,19.380,19.430,19.960,19.210,613613.000,
2025-02-19,19.260,19.500,19.560,19.030,385877.000,
2025-02-20,19.390,19.260,19.440,19.050,332044.000,
2025-02-21,19.260,19.760,19.860,19.230,537512.000,
2025-02-24,20.080,20.270,20.530,19.700,636046.000,
2025-02-25,20.010,20.150,20.500,19.830,445503.000,
2025-02-26,20.140,20.750,20.830,20.140,503496.000,
2025-02-27,20.830,21.620,21.660,20.570,785120.000,
2025-02-28,21.400,20.880,22.180,20.800,817006.000,
2025-03-03,21.260,22.120,22.500,21.260,951009.000,
2025-03-04,21.560,20.900,21.590,20.690,727595.000,
2025-03-05,20.800,20.800,20.910,20.540,327472.000,
2025-03-06,20.850,20.880,21.120,20.760,393722.000,
2025-03-07,20.670,20.410,20.820,20.200,414986.000,
2025-03-10,20.320,20.420,20.540,20.200,281208.000,
2025-03-11,20.200,20.400,20.460,20.040,220687.000,
2025-03-12,20.410,20.460,20.720,20.310,307695.000,
2025-03-13,20.490,19.960,20.770,19.850,375542.000,
2025-03-14,19.800,20.140,20.240,19.560,325045.000,
2025-03-17,20.160,20.120,20.380,20.010,270960.000,
2025-03-18,20.160,20.300,20.450,20.150,268135.000,
2025-03-19,20.250,20.040,20.270,19.960,216628.000,
2025-03-20,20.030,19.690,20.030,19.680,213687.000,
2025-03-21,19.660,19.270,19.770,19.170,235693.000,
2025-03-24,19.240,19.400,19.460,19.010,196736.000,
2025-03-25,19.400,19.500,19.650,19.230,172689.000,
2025-03-26,19.400,19.310,19.560,19.300,133430.000,
2025-03-27,19.250,19.180,19.390,19.000,159409.000,
2025-03-28,19.180,19.000,19.300,19.000,124346.000,
2025-03-31,18.880,18.640,18.960,18.410,183378.000,
